subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Valetta,v02,1,0.0,10.0,1774422769.1078615,1774422779.0745282,10.0,70.9421396303155,1,69.82678671475082,1.1153529155646709,1,72.07660279989011,1.134463169574616,video_RAW_YUV420
Valetta,v02,2,10.002000093460083,19.999937057495117,1774422779.1098616,1774422789.0744722,9.997936964035034,72.37867588274479,2,71.79486510690906,0.5838107758357296,2,82.98657674656278,10.607900863817989,video_RAW_YUV420
Valetta,v02,3,20.24399995803833,29.984750986099243,1774422789.3518615,1774422799.0592537,9.740751028060913,73.84269279388724,3,73.38110839312134,0.4615844007659007,3,66.87662494877196,6.966067845115276,video_RAW_YUV420
Valetta,v02,4,30.53500008583069,39.9859836101532,1774422799.6428616,1774422809.060567,9.45098352432251,74.36093728111386,4,73.86991305074261,0.4910242303712522,4,93.14634090648445,18.78540362537059,video_RAW_YUV420
Valetta,v02,5,40.79900002479553,49.98470091819763,1774422809.9068615,1774422819.0592809,9.1857008934021,73.7288061959189,5,70.9672172720839,2.7615889238350064,5,73.2376279419088,0.4911782540101086,android_311YJP3P3080D200020
