frame,timestamp
0,1.7744230058E9
1,1.77442300586E9
2,1.774423005886E9
3,1.774423005914E9
4,1.774423005942E9
5,1.774423005971E9
6,1.774423005999E9
7,1.774423006033E9
8,1.774423006066E9
9,1.7744230061E9
10,1.774423006133E9
11,1.774423006166E9
12,1.7744230062E9
13,1.774423006233E9
14,1.774423006266E9
15,1.774423006299E9
16,1.774423006334E9
17,1.774423006366E9
18,1.774423006399E9
19,1.774423006433E9
20,1.774423006466E9
21,1.7744230065E9
22,1.774423006532E9
23,1.774423006566E9
24,1.7744230066E9
25,1.774423006634E9
26,1.774423006667E9
27,1.7744230067E9
28,1.774423006733E9
29,1.774423006766E9
30,1.774423006799E9
31,1.774423006833E9
32,1.774423006867E9
33,1.774423006899E9
34,1.774423006933E9
35,1.774423006966E9
36,1.774423007002E9
37,1.774423007036E9
38,1.774423007069E9
39,1.774423007104E9
40,1.774423007136E9
41,1.77442300717E9
42,1.7744230072E9
43,1.774423007236E9
44,1.774423007269E9
45,1.774423007304E9
46,1.774423007338E9
47,1.774423007371E9
48,1.774423007402E9
49,1.774423007434E9
50,1.774423007473E9
51,1.774423007503E9
52,1.774423007537E9
53,1.774423007572E9
54,1.774423007613E9
55,1.774423007639E9
56,1.774423007669E9
57,1.774423007701E9
58,1.774423007736E9
59,1.774423007771E9
60,1.774423007809E9
61,1.77442300784E9
62,1.774423007869E9
63,1.774423007903E9
64,1.774423007937E9
65,1.77442300797E9
66,1.774423008005E9
67,1.774423008036E9
68,1.774423008072E9
69,1.774423008104E9
70,1.774423008136E9
71,1.774423008171E9
72,1.774423008205E9
73,1.774423008237E9
74,1.77442300827E9
75,1.774423008304E9
76,1.774423008337E9
77,1.774423008372E9
78,1.774423008403E9
79,1.774423008436E9
80,1.774423008472E9
81,1.774423008499E9
82,1.774423008538E9
83,1.774423008576E9
84,1.774423008604E9
85,1.774423008635E9
86,1.774423008672E9
87,1.774423008704E9
88,1.774423008737E9
89,1.774423008771E9
90,1.774423008804E9
91,1.774423008834E9
92,1.774423008873E9
93,1.774423008904E9
94,1.774423008942E9
95,1.774423008969E9
96,1.774423009002E9
97,1.774423009037E9
98,1.774423009069E9
99,1.774423009103E9
100,1.77442300914E9
101,1.774423009169E9
102,1.774423009203E9
103,1.774423009238E9
104,1.77442300927E9
105,1.774423009306E9
106,1.774423009335E9
107,1.77442300937E9
108,1.774423009404E9
109,1.774423009436E9
110,1.77442300947E9
111,1.774423009504E9
112,1.774423009536E9
113,1.774423009573E9
114,1.774423009603E9
115,1.774423009639E9
116,1.774423009669E9
117,1.774423009702E9
118,1.774423009736E9
119,1.774423009769E9
120,1.774423009804E9
121,1.774423009867E9
122,1.774423009897E9
123,1.774423009923E9
124,1.774423009949E9
125,1.77442300998E9
126,1.774423010009E9
127,1.774423010045E9
128,1.774423010074E9
129,1.774423010102E9
130,1.774423010136E9
131,1.774423010168E9
132,1.774423010202E9
133,1.774423010236E9
134,1.77442301027E9
135,1.774423010302E9
136,1.774423010338E9
137,1.774423010369E9
138,1.774423010404E9
139,1.774423010437E9
140,1.774423010471E9
141,1.7744230105E9
142,1.774423010538E9
143,1.774423010571E9
144,1.774423010603E9
145,1.774423010643E9
146,1.774423010672E9
147,1.774423010703E9
148,1.774423010737E9
149,1.774423010771E9
150,1.774423010808E9
151,1.774423010836E9
152,1.774423010871E9
153,1.774423010902E9
154,1.774423010936E9
155,1.774423010971E9
156,1.774423011001E9
157,1.774423011033E9
158,1.774423011072E9
159,1.774423011103E9
160,1.774423011144E9
161,1.774423011172E9
162,1.774423011202E9
163,1.774423011236E9
164,1.774423011271E9
165,1.774423011304E9
166,1.774423011344E9
167,1.774423011373E9
168,1.774423011403E9
169,1.774423011439E9
170,1.774423011471E9
171,1.774423011515E9
172,1.774423011543E9
173,1.774423011569E9
174,1.774423011605E9
175,1.774423011637E9
176,1.77442301167E9
177,1.774423011704E9
178,1.774423011739E9
179,1.774423011771E9
180,1.774423011801E9
181,1.774423011835E9
182,1.774423011869E9
183,1.774423011904E9
184,1.774423011937E9
185,1.77442301197E9
186,1.774423012002E9
187,1.774423012037E9
188,1.774423012072E9
189,1.774423012102E9
190,1.774423012138E9
191,1.77442301217E9
192,1.774423012205E9
193,1.774423012237E9
194,1.774423012273E9
195,1.774423012303E9
196,1.774423012335E9
197,1.774423012372E9
198,1.774423012411E9
199,1.774423012439E9
200,1.774423012471E9
201,1.7744230125E9
202,1.774423012535E9
203,1.774423012568E9
204,1.774423012614E9
205,1.774423012642E9
206,1.774423012669E9
207,1.774423012704E9
208,1.774423012738E9
209,1.774423012771E9
210,1.77442301281E9
211,1.774423012839E9
212,1.77442301287E9
213,1.774423012904E9
214,1.774423012935E9
215,1.774423012968E9
216,1.774423013004E9
217,1.774423013034E9
218,1.77442301307E9
219,1.774423013102E9
220,1.774423013138E9
221,1.774423013177E9
222,1.774423013206E9
223,1.774423013236E9
224,1.774423013268E9
225,1.774423013302E9
226,1.774423013336E9
227,1.774423013397E9
228,1.774423013425E9
229,1.774423013452E9
230,1.774423013479E9
231,1.774423013506E9
232,1.774423013541E9
233,1.774423013572E9
234,1.774423013604E9
235,1.774423013635E9
236,1.77442301367E9
237,1.774423013703E9
238,1.774423013736E9
239,1.774423013771E9
240,1.774423013811E9
241,1.774423013841E9
242,1.774423013868E9
243,1.774423013904E9
244,1.774423013938E9
245,1.774423013973E9
246,1.774423014003E9
247,1.774423014038E9
248,1.774423014071E9
249,1.774423014103E9
250,1.774423014136E9
251,1.774423014174E9
252,1.774423014203E9
253,1.774423014236E9
254,1.774423014269E9
255,1.774423014306E9
256,1.774423014338E9
257,1.774423014373E9
258,1.774423014403E9
259,1.77442301444E9
260,1.774423014472E9
261,1.774423014503E9
262,1.774423014538E9
263,1.774423014568E9
264,1.774423014603E9
265,1.774423014633E9
266,1.774423014669E9
267,1.774423014708E9
268,1.774423014737E9
269,1.77442301477E9
270,1.774423014804E9
271,1.774423014837E9
272,1.77442301487E9
273,1.774423014909E9
274,1.774423014938E9
275,1.77442301497E9
276,1.774423014999E9
277,1.774423015039E9
278,1.774423015074E9
279,1.774423015101E9
280,1.774423015136E9
281,1.77442301517E9
282,1.774423015205E9
283,1.774423015244E9
284,1.774423015272E9
285,1.774423015303E9
286,1.774423015335E9
287,1.774423015367E9
288,1.774423015403E9
289,1.774423015436E9
290,1.774423015471E9
291,1.774423015505E9
292,1.774423015535E9
293,1.774423015571E9
294,1.774423015605E9
295,1.774423015637E9
296,1.774423015669E9
297,1.774423015703E9
298,1.774423015737E9
299,1.774423015767E9
300,1.774423015802E9
301,1.774423015834E9
302,1.77442301587E9
303,1.774423015904E9
304,1.774423015937E9
305,1.77442301597E9
306,1.774423016004E9
307,1.774423016038E9
308,1.774423016071E9
309,1.774423016104E9
310,1.774423016137E9
311,1.774423016179E9
312,1.77442301621E9
313,1.774423016241E9
314,1.774423016268E9
315,1.774423016301E9
316,1.77442301634E9
317,1.774423016373E9
318,1.774423016402E9
319,1.774423016436E9
320,1.774423016468E9
321,1.774423016502E9
322,1.774423016537E9
323,1.77442301657E9
324,1.774423016603E9
325,1.774423016637E9
326,1.774423016671E9
327,1.774423016707E9
328,1.774423016734E9
329,1.774423016772E9
330,1.774423016803E9
331,1.774423016838E9
332,1.77442301687E9
333,1.774423016907E9
334,1.774423016935E9
335,1.774423016969E9
336,1.774423017E9
337,1.774423017035E9
338,1.774423017074E9
339,1.774423017105E9
340,1.774423017136E9
341,1.77442301717E9
342,1.774423017203E9
343,1.774423017235E9
344,1.774423017385E9
345,1.774423017411E9
346,1.774423017439E9
347,1.774423017469E9
348,1.774423017504E9
349,1.774423017541E9
350,1.774423017567E9
351,1.774423017606E9
352,1.774423017635E9
353,1.77442301767E9
354,1.774423017705E9
355,1.774423017737E9
356,1.774423017773E9
357,1.774423017802E9
358,1.774423017835E9
359,1.77442301787E9
360,1.774423017907E9
361,1.774423017936E9
362,1.77442301797E9
363,1.774423018003E9
364,1.774423018035E9
365,1.77442301807E9
366,1.774423018103E9
367,1.774423018136E9
368,1.774423018168E9
369,1.774423018203E9
370,1.774423018238E9
371,1.774423018272E9
372,1.774423018305E9
373,1.774423018336E9
374,1.774423018371E9
375,1.774423018403E9
376,1.774423018436E9
377,1.77442301847E9
378,1.774423018504E9
379,1.774423018537E9
380,1.77442301857E9
381,1.774423018601E9
382,1.774423018634E9
383,1.774423018671E9
384,1.774423018704E9
385,1.774423018737E9
386,1.774423018772E9
387,1.774423018802E9
388,1.774423018837E9
389,1.774423018868E9
390,1.774423018905E9
391,1.774423018934E9
392,1.774423018969E9
393,1.774423019002E9
394,1.774423019039E9
395,1.77442301907E9
396,1.774423019101E9
397,1.77442301914E9
398,1.774423019169E9
399,1.774423019204E9
400,1.774423019238E9
401,1.77442301927E9
402,1.774423019305E9
403,1.774423019335E9
404,1.774423019371E9
405,1.774423019404E9
406,1.774423019438E9
407,1.774423019475E9
408,1.774423019503E9
409,1.774423019535E9
410,1.774423019572E9
411,1.774423019603E9
412,1.774423019659E9
413,1.774423019685E9
414,1.774423019709E9
415,1.774423019738E9
416,1.774423019768E9
417,1.774423019807E9
418,1.774423019835E9
419,1.774423019871E9
420,1.774423019901E9
421,1.774423019938E9
422,1.774423019971E9
423,1.774423020006E9
424,1.774423020036E9
425,1.77442302007E9
426,1.774423020104E9
427,1.774423020136E9
428,1.774423020169E9
429,1.774423020201E9
430,1.774423020234E9
431,1.774423020268E9
432,1.774423020304E9
433,1.774423020337E9
434,1.774423020372E9
435,1.774423020404E9
436,1.774423020435E9
437,1.774423020472E9
438,1.774423020505E9
439,1.774423020553E9
440,1.774423020579E9
441,1.774423020603E9
442,1.774423020635E9
443,1.774423020672E9
444,1.774423020703E9
445,1.774423020739E9
446,1.774423020768E9
447,1.774423020803E9
448,1.774423020836E9
449,1.77442302087E9
450,1.774423020904E9
451,1.774423020936E9
452,1.774423020967E9
453,1.774423020999E9
454,1.774423021034E9
455,1.774423021171E9
456,1.774423021202E9
457,1.774423021235E9
458,1.774423021271E9
459,1.774423021304E9
460,1.77442302134E9
461,1.77442302137E9
462,1.774423021402E9
463,1.774423021433E9
