subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Benny,v01,1,0.0,10.031384706497192,1774420147.0993187,1774420157.0973766,10.031384706497192,76.09370951157625,1,77.4922300790194,1.3985205674431427,1,42.08901713673841,34.00469237483784,video_RAW_YUV420
Benny,v01,2,10.089999914169312,20.04788041114807,1774420157.1893187,1774420167.1138952,9.95788049697876,77.66152197719656,2,65.51007635314748,12.151445624049074,2,71.17605404036571,6.485467936830844,android_311YJP3P3080D200020
Benny,v01,3,20.394999980926514,30.063231945037842,1774420167.4943187,1774420177.129212,9.668231964111328,73.66712887393946,3,47.01384994841265,26.653278925526813,3,75.09662424065378,1.4294953667143204,android_311YJP3P3080D200020
Benny,v01,4,30.703999996185303,40.0964195728302,1774420177.8033187,1774420187.162432,9.392419576644897,76.03961843186214,4,75.18589704380531,0.853721388056826,4,140.02425167896342,63.984633247101286,video_RAW_YUV420
Benny,v01,5,40.875,50.113158226013184,1774420187.9743187,1774420197.1791263,9.238158226013184,83.61566857833628,5,83.40370453340974,0.21196404492654608,5,116.01123934147503,32.39557076313875,video_RAW_YUV420
