subject,session,common_clip_idx,window_start_rel_s,window_end_rel_s,gt_window_start_wall,gt_window_end_wall,window_duration_sec,gt_hr_bpm,video_RAW_YUV420_clip_idx,video_RAW_YUV420_pred_hr_bpm,video_RAW_YUV420_err_bpm,android_311YJP3P3080D200020_clip_idx,android_311YJP3P3080D200020_pred_hr_bpm,android_311YJP3P3080D200020_err_bpm,best_camera_by_err
Patrick Yum,v01,1,0.0,10.0,1774421695.6074886,1774421705.5741553,10.0,86.5822025199043,1,84.51052287367804,2.071679646226258,1,87.54410743673127,0.9619049168269669,android_311YJP3P3080D200020
Patrick Yum,v01,2,10.068000078201294,19.984763383865356,1774421705.6754887,1774421715.5589743,9.916763305664062,84.43852240895396,2,84.84297101751076,0.4044486085568053,2,85.06070399718188,0.6221815882279174,video_RAW_YUV420
Patrick Yum,v01,3,20.265000104904175,29.984496593475342,1774421715.8724887,1774421725.5586994,9.719496488571167,87.20354356199445,3,88.24002578508228,1.0364822230878303,3,38.29634841739487,48.907195144599584,video_RAW_YUV420
Patrick Yum,v01,4,30.496000051498413,39.9844126701355,1774421726.1034887,1774421735.5586085,9.488412618637085,88.43885151977626,4,88.29870784029781,0.14014367947845585,4,87.76129999509342,0.6775515246828405,video_RAW_YUV420
Patrick Yum,v01,5,40.79700016975403,49.984705209732056,1774421736.4044888,1774421745.5589051,9.187705039978027,89.18683235707476,5,88.71330275109067,0.47352960598409766,5,65.58997707128681,23.596855285787953,video_RAW_YUV420
