frame,timestamp
0,1774413674.8389747
1,1774413674.8710701
2,1774413674.9031348
3,1774413674.9351265
4,1774413674.9671397
5,1774413674.9990788
6,1774413675.0314748
7,1774413675.0631952
8,1774413675.095306
9,1774413675.127041
10,1774413675.15913
11,1774413675.207654
12,1774413675.2394474
13,1774413675.2712836
14,1774413675.3032267
15,1774413675.3353777
16,1774413675.367725
17,1774413675.39939
18,1774413675.4324718
19,1774413675.4659617
20,1774413675.4992876
21,1774413675.5288618
22,1774413675.5819597
23,1774413675.6073642
24,1774413675.639773
25,1774413675.6725707
26,1774413675.706334
27,1774413675.7350523
28,1774413675.767137
29,1774413675.8018942
30,1774413675.8320384
31,1774413675.8652346
32,1774413675.8954923
33,1774413675.9445765
34,1774413675.9760883
35,1774413676.007907
36,1774413676.0397391
37,1774413676.0714228
38,1774413676.1030738
39,1774413676.1376414
40,1774413676.1684835
41,1774413676.1994808
42,1774413676.235987
43,1774413676.2633414
44,1774413676.2953336
45,1774413676.3436112
46,1774413676.376278
47,1774413676.4082148
48,1774413676.439984
49,1774413676.4730594
50,1774413676.503772
51,1774413676.538216
52,1774413676.568261
53,1774413676.6033463
54,1774413676.6311724
55,1774413676.663145
56,1774413676.7123501
57,1774413676.745645
58,1774413676.7771218
59,1774413676.8084443
60,1774413676.8390675
61,1774413676.8714833
62,1774413676.9069092
63,1774413676.9354172
64,1774413676.9710774
65,1774413677.0045815
66,1774413677.0310912
67,1774413677.0790381
68,1774413677.115777
69,1774413677.1452231
70,1774413677.1770656
71,1774413677.2073936
72,1774413677.240117
73,1774413677.2740016
74,1774413677.3065224
75,1774413677.3362157
76,1774413677.3712275
77,1774413677.4032245
78,1774413677.4333324
79,1774413677.479637
80,1774413677.511542
81,1774413677.5432045
82,1774413677.5759182
83,1774413677.610226
84,1774413677.6399353
85,1774413677.6737418
86,1774413677.7032459
87,1774413677.7359872
88,1774413677.767902
89,1774413677.8001235
90,1774413677.851267
91,1774413677.8824499
92,1774413677.911412
93,1774413677.9433327
94,1774413677.975994
95,1774413678.0088747
96,1774413678.0390513
97,1774413678.0710616
98,1774413678.1030416
99,1774413678.1351712
100,1774413678.1679015
101,1774413678.2153945
102,1774413678.249238
103,1774413678.279056
104,1774413678.311382
105,1774413678.343637
106,1774413678.377568
107,1774413678.4102347
108,1774413678.4391017
109,1774413678.4730065
110,1774413678.5057647
111,1774413678.5376637
112,1774413678.5686944
113,1774413678.6176867
114,1774413678.649752
115,1774413678.681733
116,1774413678.7140093
117,1774413678.7442272
118,1774413678.7754927
119,1774413678.808862
120,1774413678.8399158
121,1774413678.873342
122,1774413678.904278
123,1774413678.935253
124,1774413678.983151
125,1774413679.015889
126,1774413679.0470011
127,1774413679.0798118
128,1774413679.1117837
129,1774413679.1431286
130,1774413679.175597
131,1774413679.2136886
132,1774413679.2395804
133,1774413679.2726564
134,1774413679.3035054
135,1774413679.3357906
136,1774413679.3832533
