frame,timestamp
0,1774421414.5048676
1,1774421414.5367868
2,1774421414.5688202
3,1774421414.600765
4,1774421414.6330016
5,1774421414.6649787
6,1774421414.7132404
7,1774421414.7448242
8,1774421414.7769387
9,1774421414.8088589
10,1774421414.8407598
11,1774421414.872725
12,1774421414.9047117
13,1774421414.9369297
14,1774421414.9692369
15,1774421415.00109
16,1774421415.0330844
17,1774421415.064974
18,1774421415.1127524
19,1774421415.1451159
20,1774421415.1773672
21,1774421415.208998
22,1774421415.2411702
23,1774421415.2731094
24,1774421415.304788
25,1774421415.336689
26,1774421415.3689065
27,1774421415.4016047
28,1774421415.4327204
29,1774421415.4647727
30,1774421415.4967506
31,1774421415.5455809
32,1774421415.5773609
33,1774421415.608895
34,1774421415.6407716
35,1774421415.6726606
36,1774421415.7050314
37,1774421415.7367394
38,1774421415.7688434
39,1774421415.8007967
40,1774421415.8327434
41,1774421415.8647513
42,1774421415.9128556
43,1774421415.945056
44,1774421415.9789977
45,1774421416.009563
46,1774421416.0408041
47,1774421416.072865
48,1774421416.1047375
49,1774421416.1368577
50,1774421416.1692984
51,1774421416.2007089
52,1774421416.2332091
53,1774421416.264931
54,1774421416.312742
55,1774421416.3450825
56,1774421416.3776374
57,1774421416.409142
58,1774421416.4407237
59,1774421416.472878
60,1774421416.5049772
61,1774421416.5367348
62,1774421416.5696151
63,1774421416.6009305
64,1774421416.6330159
65,1774421416.6667275
66,1774421416.6975214
67,1774421416.7467282
68,1774421416.778324
69,1774421416.810009
70,1774421416.8407083
71,1774421416.874741
72,1774421416.906843
73,1774421416.937059
74,1774421416.96941
75,1774421417.00072
76,1774421417.032778
77,1774421417.064775
78,1774421417.1141603
79,1774421417.146123
80,1774421417.1769075
81,1774421417.2090425
82,1774421417.240705
83,1774421417.2732637
84,1774421417.3048778
85,1774421417.3378088
86,1774421417.3698928
87,1774421417.4016793
88,1774421417.4349127
89,1774421417.4648266
90,1774421417.4968212
91,1774421417.5448914
92,1774421417.576964
93,1774421417.6088746
94,1774421417.6407814
95,1774421417.6728148
96,1774421417.7050962
97,1774421417.7369332
98,1774421417.771861
99,1774421417.801457
100,1774421417.8330257
101,1774421417.8650248
102,1774421417.9001358
103,1774421417.945449
104,1774421417.9770567
105,1774421418.0092351
106,1774421418.0407736
107,1774421418.0730143
108,1774421418.1057522
109,1774421418.1371067
110,1774421418.1686852
111,1774421418.2016473
112,1774421418.2347906
113,1774421418.2648163
114,1774421418.2971659
115,1774421418.3474805
116,1774421418.3769336
117,1774421418.4094336
118,1774421418.4409828
119,1774421418.4728458
120,1774421418.5062752
121,1774421418.5414162
122,1774421418.5696201
123,1774421418.6007009
124,1774421418.6377168
125,1774421418.6674926
126,1774421418.6977575
127,1774421418.7458863
128,1774421418.781414
129,1774421418.8087966
130,1774421418.8407555
131,1774421418.8728244
132,1774421418.9049325
133,1774421418.9376276
134,1774421418.9696443
135,1774421419.0008779
136,1774421419.032678
137,1774421419.066575
138,1774421419.0972471
139,1774421419.14485
140,1774421419.1779287
141,1774421419.209265
142,1774421419.2408144
143,1774421419.2727013
144,1774421419.3049786
145,1774421419.337752
146,1774421419.368879
147,1774421419.4027548
148,1774421419.4329476
149,1774421419.4648585
150,1774421419.4966993
151,1774421419.54601
152,1774421419.581679
153,1774421419.6095881
154,1774421419.640768
155,1774421419.6744704
156,1774421419.705134
157,1774421419.7379103
158,1774421419.7687175
159,1774421419.8021302
160,1774421419.832969
161,1774421419.865471
162,1774421419.8989377
163,1774421419.9456074
164,1774421419.9767015
165,1774421420.008758
166,1774421420.0407898
167,1774421420.0752122
168,1774421420.105093
169,1774421420.1368425
170,1774421420.1688185
171,1774421420.20423
172,1774421420.2335148
173,1774421420.2655418
174,1774421420.296687
175,1774421420.3453696
176,1774421420.3776658
177,1774421420.4089174
178,1774421420.4414515
179,1774421420.4728758
180,1774421420.5047865
181,1774421420.5373979
182,1774421420.568804
183,1774421420.6076736
184,1774421420.6328585
185,1774421420.6649592
186,1774421420.696704
187,1774421420.7288673
188,1774421420.7811441
189,1774421420.8092015
190,1774421420.8408937
191,1774421420.873983
192,1774421420.9105947
193,1774421420.938524
194,1774421420.974136
195,1774421421.0006716
196,1774421421.034142
197,1774421421.06488
198,1774421421.0979998
199,1774421421.1462991
200,1774421421.1822202
201,1774421421.208824
202,1774421421.241351
203,1774421421.2728357
204,1774421421.305534
205,1774421421.3384097
206,1774421421.3687627
207,1774421421.4036667
208,1774421421.4357352
209,1774421421.4649322
210,1774421421.4967778
211,1774421421.530942
212,1774421421.5768063
213,1774421421.608779
214,1774421421.6406965
215,1774421421.6743715
216,1774421421.7052488
217,1774421421.737238
218,1774421421.7725244
219,1774421421.801556
220,1774421421.8330526
221,1774421421.8665588
222,1774421421.896941
