frame,timestamp
0,1774419864.9496222
1,1774419864.9816904
2,1774419865.029693
3,1774419865.0619633
4,1774419865.093719
5,1774419865.1256285
6,1774419865.1578884
7,1774419865.1908429
8,1774419865.2244253
9,1774419865.2540412
10,1774419865.2866602
11,1774419865.3176813
12,1774419865.3502545
13,1774419865.381899
14,1774419865.4302394
15,1774419865.4616942
16,1774419865.4936824
17,1774419865.5258343
18,1774419865.56102
19,1774419865.5902905
20,1774419865.6216688
21,1774419865.6538997
22,1774419865.6859539
23,1774419865.7176058
24,1774419865.7501905
25,1774419865.7977722
26,1774419865.8324373
27,1774419865.8628
28,1774419865.8936677
29,1774419865.9260879
30,1774419865.9581287
31,1774419865.9899251
32,1774419866.021884
33,1774419866.054667
34,1774419866.0863764
35,1774419866.1184857
36,1774419866.1657681
37,1774419866.1982045
38,1774419866.2303572
39,1774419866.2620356
40,1774419866.2939234
41,1774419866.3258753
42,1774419866.3587666
43,1774419866.390922
44,1774419866.4216921
45,1774419866.457679
46,1774419866.4878626
47,1774419866.5240977
48,1774419866.5678926
49,1774419866.600807
50,1774419866.629708
51,1774419866.664531
52,1774419866.6946976
53,1774419866.7255938
54,1774419866.7577577
55,1774419866.7898564
56,1774419866.8216956
57,1774419866.8555305
58,1774419866.8898408
59,1774419866.9343293
60,1774419866.9656081
61,1774419866.9982111
62,1774419867.0304434
63,1774419867.0625856
64,1774419867.093702
65,1774419867.1255288
66,1774419867.1575859
67,1774419867.1927621
68,1774419867.2234933
69,1774419867.2594647
70,1774419867.301812
71,1774419867.3363943
72,1774419867.3658385
73,1774419867.3980913
74,1774419867.431075
75,1774419867.4616523
76,1774419867.495173
77,1774419867.528461
78,1774419867.5575905
79,1774419867.5900297
80,1774419867.6247244
81,1774419867.6565685
82,1774419867.7042315
83,1774419867.733919
84,1774419867.7662697
85,1774419867.797758
86,1774419867.8319685
87,1774419867.8619437
88,1774419867.894409
89,1774419867.927948
90,1774419867.9597313
91,1774419867.9898796
92,1774419868.0237782
93,1774419868.0707343
94,1774419868.1016824
95,1774419868.133613
96,1774419868.1667612
97,1774419868.198734
98,1774419868.2307677
99,1774419868.262745
100,1774419868.2947786
101,1774419868.326781
102,1774419868.3587406
103,1774419868.3900416
104,1774419868.422714
105,1774419868.4699328
106,1774419868.5016553
107,1774419868.534034
108,1774419868.565891
109,1774419868.5980709
110,1774419868.6300387
111,1774419868.6619532
112,1774419868.694041
113,1774419868.7260714
114,1774419868.7581422
115,1774419868.7900214
116,1774419868.8394632
117,1774419868.871375
118,1774419868.901694
119,1774419868.934752
120,1774419868.9660683
121,1774419869.0019717
122,1774419869.0312686
123,1774419869.0619795
124,1774419869.093606
125,1774419869.126393
126,1774419869.1581914
127,1774419869.208425
128,1774419869.2391894
129,1774419869.2773356
130,1774419869.3018017
131,1774419869.3339438
132,1774419869.3708513
133,1774419869.3978274
134,1774419869.4298193
135,1774419869.4662952
136,1774419869.4944377
137,1774419869.525753
138,1774419869.5580828
139,1774419869.611267
140,1774419869.6423283
141,1774419869.6697063
142,1774419869.7029865
143,1774419869.736829
144,1774419869.7658105
145,1774419869.8020554
146,1774419869.8309498
147,1774419869.8619342
148,1774419869.893906
149,1774419869.926074
150,1774419869.9741335
151,1774419870.0061219
152,1774419870.037884
153,1774419870.0699756
154,1774419870.101665
155,1774419870.1348834
156,1774419870.1698253
157,1774419870.1985242
158,1774419870.2303367
159,1774419870.2650762
160,1774419870.2944088
161,1774419870.34197
162,1774419870.3760421
163,1774419870.4071958
164,1774419870.4379635
165,1774419870.4695778
166,1774419870.5018437
167,1774419870.5336142
168,1774419870.5661654
169,1774419870.5984364
170,1774419870.6342928
171,1774419870.66357
172,1774419870.6946104
173,1774419870.744853
174,1774419870.779883
175,1774419870.8057687
176,1774419870.8391938
177,1774419870.8700554
178,1774419870.9034567
179,1774419870.933897
180,1774419870.966045
181,1774419870.9979694
182,1774419871.0305364
183,1774419871.061972
184,1774419871.1107597
185,1774419871.142415
186,1774419871.1773329
187,1774419871.206353
188,1774419871.2388608
189,1774419871.2698603
190,1774419871.3035853
191,1774419871.333786
192,1774419871.3657167
193,1774419871.3996422
194,1774419871.4298832
195,1774419871.4777832
196,1774419871.5112345
197,1774419871.542331
198,1774419871.5737755
199,1774419871.6101243
200,1774419871.6400912
201,1774419871.6700435
202,1774419871.7017658
